EN;FR
ESRS 2 | European Sustainability Reporting Standard 2 General disclosures;ESRS 2 | Norme européenne d’information en matière de durabilité 2 – Informations générales à publier
ESRS E1 | European Sustainability Reporting Standard E1 Climate change;ESRS E1 | Norme européenne d’information en matière de durabilité E1 – Changement climatique
ESRS E2 | European Sustainability Reporting Standard E2 Pollution;ESRS E2 | Norme européenne d’information en matière de durabilité E2 – Pollution
ESRS E3 | European Sustainability Reporting Standard E3 Water and marine resources;ESRS E3 | Norme européenne d’information en matière de durabilité E3 – Ressources aquatiques et marines
ESRS E4 | European Sustainability Reporting Standard E4 Biodiversity and ecosystems;ESRS E4 | Norme européenne d’information en matière de durabilité E4 – Biodiversité et écosystèmes
ESRS E5 | European Sustainability Reporting Standard E5 Resource use and circular economy;ESRS E5 | Norme européenne d’information en matière de durabilité E5 – Utilisation des ressources et économie circulaire
ESRS G1 | European Sustainability Reporting Standard G1 Business conduct;ESRS G1 | Norme européenne d’information en matière de durabilité G1 – Conduite des affaires
ESRS S1 | European Sustainability Reporting Standard S1 Own workforce;ESRS S1 | Norme européenne d’information en matière de durabilité S1 – Effectifs de l’entreprise
ESRS S2 | European Sustainability Reporting Standard S2 Workers in the value chain;ESRS S2 | Norme européenne d’information en matière de durabilité S2 – Travailleurs de la chaîne de valeur
ESRS S3 | European Sustainability Reporting Standard S3 Affected communities;ESRS S3 | Norme européenne d’information en matière de durabilité S3 – Communautés touchées
ESRS S4 | European Sustainability Reporting Standard S4 Consumers & end-users;ESRS S4 | Norme européenne d’information en matière de durabilité S4 – Consommateurs et utilisateurs finals
EU | European Union;UE | Union européenne
EU ETS | European Union Emissions Trading System;SEQE-UE | Système d’échange de quotas d’émission de l’Union européenne
EWC | European Works Council;CEE | Comité d’entreprise européen
FPIC | Free, Prior and Informed Consent;CPLCC | Consentement préalable, donné librement et en connaissance de cause
FTE | Full-time equivalent;ETP | Équivalent temps plein
GAAP | Generally Accepted Accounting Principles;GAAP | Principes comptables généralement admis
GHG | Greenhouse Gas;GES | Gaz à effet de serre
GJ | Giga-Joules;GJ | Giga-Joules
GRI | Global Reporting Initiative;GRI | Global Reporting Initiative
GWP | Global Warming Potential;PRP | Potentiel de réchauffement de la planète
HFCs | Hydrofluorocarbons;HFC | Hydrofluorocarbones
IED | Directive 2010/75/EU of the European Parliament and of the Council (2) (Industrial Emissions Directive);DEI | Directive 2010/75/UE du Parlement européen et du Conseil (2) (directive relative aux émissions industrielles)
IFC | International Finance Corporation;IFC | Société financière internationale
IFRS | International Financial Reporting Standards;IFRS | Normes internationales d’information financière
ILO | International Labour Organisation;OIT | Organisation internationale du travail
IPBES | Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services;IPBES | Plate-forme intergouvernementale scientifique et politique sur la biodiversité et les services écosystémiques
IPCC | Intergovernmental Panel on Climate Change;GIEC | Groupe d’experts intergouvernemental sur l’évolution du climat
ISEAL | International Social and Environmental Accreditation and Labelling Alliance;ISEAL | Alliance internationale pour l’accréditation et l’étiquetage sociaux et environnementaux
ISO | International Organization for Standardization;ISO | Organisation internationale de normalisation
ISSB | International Sustainability Standards Board;ISSB | Conseil des normes internationales d’information sur la durabilité
ITS | Implementing Technical Standards;ITS | Normes techniques d’exécution
IUCN | International Union for Conservation of Nature;UICN | Union internationale pour la conservation de la nature et de ses ressources
KBA | Key Biodiversity Areas;ZCB | Zones clés pour la biodiversité
Kg | Kilogram;Kg | Kilogramme
lb | Pounds;lb | Livre
LEAP | Locate Evaluate Assess Prepare;LEAP | Localiser, évaluer, analyser, préparer
LGBTQI | Lesbian, Gay, Bisexual, Transgender, Queer, Intersex;LGBTQI | Personnes lesbiennes, gays, bisexuelles, transgenres, queer et intersexuées
MDR | Minimum Disclosure Requirement;MDR | Exigence de publication minimum
MWh | Mega-Watt-hours;MWh | Méga-watt-heures
N2O | Nitrous Oxide;N2O | Protoxyde d’azote
NACE | Statistical Classification of Economic Activities in the European Community;NACE | Nomenclature statistique des activités économiques dans la Communauté européenne
NF3 | Nitrogen trifluoride;NF3 | Trifluorure d’azote
NGOs | Non-Governmental Organisations;ONG | Organisation non gouvernementale
NH3 | Ammonia;NH3 | Ammoniac
NOX | Nitrogen oxides;NOX | Oxydes d’azote
NUTS | Nomenclature of Territorial Units of Statistics;NUTS | Nomenclature des unités territoriales statistiques
O3 | Ozone;O3 | Ozone
ODS | Ozone-depleting substance;ODS | Substance appauvrissant la couche d’ozone
OECD | Organisation for Economic Co-operation and Development;OCDE | Organisation de coopération et de développement économiques.
OECM | One Earth Climate Model;OECM | One Earth Climate Model
OpEX | Operating Expenditure;OpEx | Dépenses opérationnelles
PBTS | Persistent, bioaccumulative and toxic substances;PBT | Substance persistante, bioaccumulable et toxique
PCAF | Partnership for Carbon Accounting Financial;PCAF | Partenariat pour la comptabilité carbone
PCFs | Perfluorocarbons;PFC | Hydrocarbures perfluorés
PM | Particulate Matter;PM | Matières particulaires
PMTs | Persistent, Mobile and Toxic Substances;PMT | Substance persistante, mobile et toxique
POPs | Persistent organic pollutants;POP | Polluant organique persistant
REACH | Registration, Evaluation, Authorisation and Restriction of Chemicals;REACH | Enregistrement, évaluation et autorisation des substances chimiques, et restrictions applicables à ces substances (de l’anglais «Registration, Evaluation, Authorisation and Restriction of Chemicals»)
SBTi | Science Based Targets Initiative;SBTi | Initiative Science Based Targets
SBTN | Science Based Targets Network;SBTN | Réseau Science Based Targets
SCE | Societas Cooperativa Europaea;SCE | Societas Cooperativa Europaea
SDA | Sectoral Decarbonisation Approach;SDA | Approche de décarbonation sectorielle
SDGs | Sustainable Development Goals;ODD | Objectif de développement durable
SDPI | Sustainable Development Performance Indicator;SDPI | Indicateur de performance du développement durable
SE | Societas Europaea;SE | Societas Europaea
SEEA | System of Environmental-Economic Accounting;SCIEE | Système des comptes intégrés de l’environnement et de l’économie
SEEA EA | System of Environmental-Economic Accounting Ecosystem Accounting;SCIEE-CE | Système des comptes intégrés de l’environnement et de l’économie - Comptabilité relative aux écosystèmes
SFDR | Regulation (EU) 2019/2088 of the European Parliament and of the Council (3) (Sustainable Finance Disclosures Regulation);SFDR | Règlement (UE) 2019/2088 du Parlement européen et du Conseil (3) (règlement sur la publication d’informations en matière de durabilité dans le secteur des services financiers)
SOX | Sulphur oxides;SOX | Oxydes de soufre
SVHC | Substances of Very High Concern;SVHC | Substance extrêmement préoccupante
TCFD | Task Force on Climate-Related Financial Disclosures;TCFD | Groupe de travail sur la publication d’informations financières relatives au climat
TNFD | Taskforce on Nature-related Financial Disclosures;TNFD | Groupe de travail sur la publication d’informations financières relatives à la nature
UN | United Nations;NU | Nations unies
UNEP | United Nations Environment Programme;PNUE | Programme des Nations unies pour l’environnement.
UNESCO | United Nations Educational, Scientific and Cultural Organization;Unesco | Organisation des Nations unies pour l’éducation, la science et la culture
vPvBs | Very persistent and very bioaccumulative substances;VPVB | Substance très persistante à fort potentiel de bio-accumulation
vPvMs | Very persistent and very mobile substances;VPVM | Substance très persistante et très mobile
WDPA | World Database of Protected Areas;WDPA | Base de données mondiale sur les aires protégées
WRI | World Resources Institute;WRI | World Ressource Institute (Institut des ressources mondiales)
WWF | World-Wide Fund for Nature;WWF | Fonds mondial pour la protection de la nature
European sustainability reporting standards (ESRS);NORMES EUROPÉENNES D’INFORMATION EN MATIÈRE DE DURABILITÉ (ESRS)
ESRS 1 | General requirements;ESRS 1 | Exigences générales
ESRS 2 | General disclosures;ESRS 2 | Informations générales à publier
ESRS E1 | Climate change;ESRS E1 | Changement climatique
ESRS E2 | Pollution;ESRS E2 | Pollution
ESRS E3 | Water and marine resources;ESRS E3 | Ressources aquatiques et marines
ESRS E4 | Biodiversity and ecosystems;ESRS E4 | Biodiversité et écosystèmes
ESRS E5 | Resource use and circular economy;ESRS E5 | Utilisation des ressources et économie circulaire
ESRS S1 | Own workforce;ESRS S1 | Effectifs de l’entreprise
ESRS S2 | Workers in the value chain;ESRS S2 | Travailleurs de la chaîne de valeur
ESRS S3 | Affected communities;ESRS S3 | Communautés touchées
ESRS S4 | Consumers and end-users;ESRS S4 | Consommateurs et utilisateurs finals
ESRS G1 | Business conduct;ESRS G1 | Conduite des affaires
